id,label,tweet,,,
tw:797944958212800512,1,At least 100 #Rohingya civilians are dead and many are injured in two days of continuous launcher attacks by #Myanmar #Military.,,,
tw:797945081017663488,0,"RT @FrediTeres: Horrible #FUKUSHIMA:
JAP Govt aims to repopulate radioactive fall-out deserted territory, while cuts aid for unretu… ",,,
tw:797945109392199680,1,RT @nslwin: Clearance Operation Of #Myanmar #Military Left At Least 80 #Rohingya Civilians Dead https://t.co/mKG45AtyVy,,,
tw:797945819257131008,0,RT @TheMurdochTimes: The Turnbull Coalition 'refugee deal' with the US is dead. Forget it. It's not going to happen under Trump. Don't even…,,,
tw:797945977952833537,0,"RT @Kon__K: I've no faith in the #refugee review process on #Nauru &amp; #Manus, it's life &amp; death for people. #Turnbull has a duty to settle a…",,,
tw:797946033741250561,0,RT @Jarrapin: Donald Trump backer says Aust-US refugee swap deal is 'dead on arrival' . Turnmbull dithering to blame?  https://t.co/z8CAz5T…,,,
tw:797946228038213632,0,Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival' https://t.co/gS6YATo0ad,,,
tw:797946250410606594,0,"RT @9NewsLA: US anti-immigration think tank warns refugee resettlement deal won't last under @realDonaldTrump.
https://t.co/0hqSKATSYC #9Ne…",,,
tw:797948969816985605,0,"Refugee deal 'dead on arrival', says US expert 
I don't expect any Republicans will defend it;  excerpt https://t.co/pF5tEDz2GS",,,
tw:797949329776349184,0,RT @rightsagenda: Media release: Refugee resettlement deal: Govt finally concedes Manus Island and Nauru are dead ends https://t.co/jfJnATd…,,,
tw:797950456324423680,0,"@realDonaldTrump @TurnbullMalcolm Yeah, why swap one group for another. Why don't we just keep our refugees &amp; Ameri… https://t.co/hQWIrUekpy",,,
tw:797950919337857024,0,https://t.co/5PH8zwKSX6 https://t.co/Ii6BvtjFzM,,,
tw:797951678230065152,1,RT @Sthumoe: Many #Rohingya were shot dead by #Myanmar Army &amp BGP on Nov 12.This footage is from #YayKhaeChaungKhwaSone VT.…,BGP on Nov 12.This footage is from #YayKhaeChaungKhwaSone VT.…,,
tw:797952207991603200,0,"Trump backer says refugee swap deal is 'dead on arrival'
TBH want this to work 4 #asylumseeker sake
Don't #Fizza it
https://t.co/7m7u06BDtP",,,
tw:797952741809106948,1,"RT @matthewfsmith: Horrific video footage &amp; allegations emerging from Maungdaw. Dead #Rohingya civilian men, women, children, many w/ gunsh…",,,
tw:797953891635642368,0,RT @Heavenbounding: #serenashim Iranian broadcaster raises suspicions about death of reporter on #Syrian border https://t.co/09M10QThUF,,,
tw:797954233173569537,1,"RT @nslwin: On Nov 12, Many #Rohingya were shot dead by #Myanmar Army &amp; BGP. This footage is from #YayKhaeChaungKhwaSone VT. https://t.co/A…",,,
tw:797955146122543104,1,"RT @AkhFindMyMiswaq: WARNING sensitive content 🔞⚠️ On Nov 12, Many #Rohingya muslims were shot dead by #Myanmar Army. footage is from… ",,,
tw:797955270437584896,1,RT @WangCecillia: @teddivest Do you realize that Border Patrol has shot to death Mexican children across the border? And US says Constituti…,,,
tw:797956625948512256,0,"Reality will never phase @PeterDutton_MP or @Turnbullmalcolm. Nor does integrity or bothering to find a long term,… https://t.co/KnL5ujeaxR",,,
tw:797956769284640768,1,RT @nslwin: Left For Dead: #Myanmar’s #Muslim Minority #Rohingya (Full Length) https://t.co/6jiMpRtHbx via @vice's documentary flim,,,
tw:797956871365619712,0,"The LNP are now realising what it means to have “Pres Trump”. TPP, refugee deal, renewables, all dead. Any reasonable agreements, dead.",,,
tw:797957956784373760,0,RT @drzarni: #MyanmarArmy Propaganda is far more effective on its #Rohingya genocide than Hitler's. Buddhist Society &amp #AungSanSuuKyi soul-…,#AungSanSuuKyi soul-…,,
tw:797958697167110144,0,The UNHRC weren’t consulted. The details of the refugee transfer largely unknown. No interest from incoming US admin to follow through. Dead,,,
tw:797958769158209536,0,Sadly ironic. How many have already died in detention? #Manus #Nauru #RefugeesWelcome  https://t.co/eoDYdsPMsd,,,
tw:797959009827311616,0,https://t.co/YskSqIw63H RT https://t.co/m2bP6uUeK3,,,
tw:797959296910692352,0,Believe that and you will believe anything. https://t.co/cqEvkVnwQ7,,,
tw:797959391508983808,0,@smh Trump backer- refugee swap deal dead @paulmcgeough is a left wing dill always biased too often wrong.,always biased too often wrong.,,
tw:797959459376988160,0,"Sounds legit, I think @TurnbullMalcolm doesn't have a clue or plan B. https://t.co/p4bOmdlqos",,,
tw:797959616369815552,0,RT @AkhFindMyMiswaq: Allegations? Can you so called journalists have a day off?  They didn't exactly shoot themselves with bamboo sticks…,,,
tw:797960445466247168,0,RT @DanielHRLC: Nauru &amp Manus are dead ends. Every person held there must be allowed to rebuild their lives in safety. For those al…,Manus are dead ends. Every person held there must be allowed to rebuild their lives in safety. For those al…,,
tw:797960995654074368,1,"RT @JamilaHanan: Many more being burnt down right now and its getting worse, #Rohingya villagers being shot dead https://t.co/smIMelts44",,,
tw:797965385299464192,0,RT @MyFirstCousin: Turnbull is a shambles. A Trump backer says his refugee settling policy is 'dead' yet there's a huge armada trying to st…,,,
tw:797969955702603776,1,#Macrisis y su mujer explota a los inmigrantes y los discrimina https://t.co/zMngQDkE74,,,
tw:797972675352109056,0,"RT @SuchNigel: "" It'll be dead on arrival ""

#Nauru
#Manus

https://t.co/rtR39DnFg1",,,
tw:797974934609760256,0,"Refugee deal 'dead on arrival', says US expert | SBS News https://t.co/yugfDMGswB You might know it as 'Fucked Up Again'?",,,
tw:797982185353461760,0,RT @iatemuggles: project by british journalist where he photographs syrian refugee families &amp leaves a place for every missing person https…,leaves a place for every missing person https…,,
tw:797982636866011138,0,"RT @DanielHRLC: Finally, Govt is admitting that Nauru &amp; Manus are dead ends. Each &amp; every person needs a humane settlement outcome:
https:/…",,,
tw:797983661937172480,0,RT @Bf99Floyd: That probably why the Th urnbull mob announced it early so President Obama could still do it while President. https://t.co/l…,,,
tw:797986834039078912,0,"RT @CurtBrit: The Death of the Most Generous Nation on Earth 

https://t.co/2oxMoYp0JM https://t.co/wbnDhka2vW",,,
tw:797987431601405952,0,First Australia-US foreign policy problem of the Trump era? https://t.co/bXmbwHAjoI,,,
tw:798000399840002048,0,#Trump Backer says AU &amp US #Refugee swap Deal 'DEAD on ARRIVAL' https://t.co/xFQGCalMuV via @theREPORTRS #auspol #asylumseekers,US #Refugee swap Deal 'DEAD on ARRIVAL' https://t.co/xFQGCalMuV via @theREPORTRS #auspol #asylumseekers,,
tw:798014449336479744,0,Aussie refugee deal is ‘dead on arrival’: Trump ally | The New Daily https://t.co/IDIuxoR0Ag,,,
tw:798015910514565121,0,This deal is dead on arrival with the new Trump regime https://t.co/YcfoSkIwBt,,,
tw:798019984966361088,0,Les #musulmans dans le monde https://t.co/fS0bpzloW2,,,
tw:798020141996855296,0,"""Dead in the water"" – Trump ally weighs in on Aussie refugee deal: https://t.co/vmbuSM4F0y #AusPol #USpoli… https://t.co/SGWipw3Lyq",,,
tw:798031126530904064,0,Does this mean the refugees are dead on arrival or Turnbull's policy is dead on arrival? #auspol https://t.co/E226z2GWHw,,,
tw:798046829250101248,1,"Dead Muslims are a matter of simple statistics. In fact, perpetrators of these heinous crimes against Muslims get N… https://t.co/bRE9AYvBmz",,,
tw:798047926194868224,1,Myanmar army kills 25 in Rohingya villages The Myanmar army says it shot dead 25  https://t.co/67Lq0mGu2K,,,
tw:798075423523381249,0,"RT @Refugees: Education can help reduce child marriage, infant mortality + child health. But many refugee girls are missing out.… ",,,
tw:798082714251317248,1,A #Rohingya from #DarGyiSar said on Nov 13 more than 100 #Rohingya dead bodies were covered with straw &amp burned into ashes by #Myanmar Army.,burned into ashes by #Myanmar Army.,,
tw:798089631044485121,0,"""what made you cross this border between life and death?
please... sing for me."" #soundhorizonbot
 #sunbot",,,
tw:798095474817437696,0,786 Sunni Muslims like Christians r defying G*D loyal to murders of 13 of 14 Infallibles+their Shia+refuse 2 repent… https://t.co/TyiauQJIyS,,,
tw:798098895511449600,0,"When you see clouds of smoke rising from #Rohingya villages previously torched to ground, ask what they are burning
https://t.co/IcDptDigyN",,,
tw:798102272672604160,0,"Auch die Österreicher können sich bei Merkel bedanken.

 https://t.co/Z7h162pxIP",,,
tw:798121786147766272,0,"RT @7layers_: No media coverage, outrage will start when the Rohingya start fighting back. https://t.co/1I9oGSuRWS",,,
tw:798129578317221888,0,Death at the Border https://t.co/CRw0T44bgv https://t.co/2ub9790LR2,,,
tw:798146454674087936,1,myanmarda yüzlerce muslüman rohingyallı katledildi myanmar haritadan siliniyor kafir çin 3 köyu yoketti https://t.co/vBNVPAHCuT,,,
tw:798188376381759488,1,"An elderly #Rohingya man, named Abdul Hakim from #DarGyiSar village was shot dead by @Min_Aung_Hlaing's Army on Nov… https://t.co/OJr5ZuKJQn",,,
tw:798200433088995328,0,"For all the safety pin people, Obama 8 years?
Continued US ""War on Terror"" death, destabilization, mass migration M… https://t.co/dbRPmJz7Y4",,,
